Name,Formula,Dielectric constant(εrel),nD
3-isothiocyanatopropene,C4H5NS,17.2,1.5269
"3-methyl-1,3-pentadiene",C6H10,2.43,1.452
3-methyl-1-butanol,C5H12O,15.2,1.4014
3-methyl-1-heptanol,C8H18O,2.87,1.4225
3-methyl-2-butanone,C5H10O,16.57,1.388
3-methyl-2-heptanol,C8H18O,7.33,1.4199
3-methyl-3-heptanol,C8H18O,3.74,1.4263
3-methyl-4-heptanol,C8H18O,7.36,1.4211
3-methylaniline,C7H9N,5.95,1.567
3-methylbutanoic acid,C5H10O2,2.6,1.4033
3-methylbutyl acetate,C7H14O2,5.6,1.4
3-methylbutyl butyrate,C9H18O2,4,1.411
3-methylbutyl propanoate,C8H16O2,4.2,1.412
3-methylbutyl salicylate,C12H16O3,5.4,1.505
3-methylcyclohexanol,C7H14O,12.3,1.458
3-methylcyclohexanone,C7H12O,12.4,1.4457
3-methylhexane,C7H16,1.93,1.3887
3-methyloxazolidin-2-one,C4H7NO2,79.3,1.454
3-methylpentane,C6H14,1.89,1.3765
3-methylphenol,C7H8O,11.5,1.5425
3-methylpyridine,C6H7N,11.1,1.5069
3-methylsulfolane,C5H10O2S,29.4,1.477
3-nitrobenzyl alcohol,C7H7NO3,22,1.573
3-nitrotoluene,C7H7NO2,23.8,1.5475
3-octanol,C8H18O,7.03,1.421
3-pentanone,C5H10O,17.3,1.391
3-phenyl-1-propene,C9H10,2.63,1.5118
"4,5-dichloro-1,3-dioxolan-2-one",C3H2Cl2O3,34.36,1.463
"4,N,N-trimethylaniline",C9H13N,3.9,1.5469
4-allyl-2-methoxyphenol,C10H12O2,10.5,1.5439
4-bromoheptane,C7H15Br,6.81,1.45
4-chlorotoluene,C7H7Cl,6.08,1.521
4-ethylpyridine,C7H9N,10.98,1.5021
4-heptanol,C7H16O,6.17,1.418
4-heptanone,C7H14O,12.6,1.407
4-hydroxy-4-methylpentan-2-one,C6H12O2,18.3,1.4242
4-isopropylbenzaldehyde,C10H12O,11,1.5301
4-methoxyaniline,C7H9NO,8.84,1.5559
4-methoxybenzaldehyde,C8H8O2,22.3,1.5764
"4-methyl-1,3-pentadiene",C6H10,2.6,1.4503
4-methyl-1-heptanol,C8H18O,4.53,1.4253
4-methyl-2-heptanol,C8H18O,3.63,1.4225
"4-methyl-2-oxo-1,3-dioxolane",C4H6O3,64.9,1.421
4-methyl-2-pentanone,C6H12O,13.11,1.3957
4-methyl-3-heptanol,C8H18O,5.25,1.4179
4-methyl-3-penten-2-one,C6H10O,15.1,1.444
4-methyl-4-heptanol,C8H18O,2.87,1.424
4-methylaniline,C7H9N,4.98,1.5532
4-methylcyclohexanol,C7H14O,13.3,1.4565
4-methylcyclohexanone,C7H12O,12.4,1.4451
4-methyloctane,C9H20,1.97,1.4009
4-methylpentanenitrile,C6H11N,15,1.406
4-methylpyridine,C6H7N,12.28,1.505
4-nitroanisole,C7H7NO3,27.98,1.5707
4-nonylphenol,C15H24O,5.2,1.517
4-octanol,C8H18O,5.12,1.4227
5-decyne,C10H18,2.17,1.4311
5-methyl-1-heptanol,C8H18O,7.47,1.4272
5-methyl-2-heptanol,C8H18O,7.5,1.4218
5-methyl-3-heptanol,C8H18O,6.13,1.4156
5-methyloxolan-2-one,C5H8O2,36.14,1.457
5-nonanone,C9H18O,10.6,1.42
6-dodecyne,C12H22,2.17,1.4425
6-methyl-1-heptanol,C8H18O,10.2,1.4255
6-methyl-2-heptanol,C8H18O,6.2,1.4209
a-ionone,C13H20O,10.8,1.4984
a-terpinene,C10H16,2.7,1.4781
acenaphthene,C12H10,3,1.6048
acetaldehyde,C2H4O,22.2,1.3819
acetaldoxime,C2H5NO,3.4,1.4264
acetic acid,C2H4O2,6.2,1.372
acetic anhydride,C4H6O3,20,1.39
acetonitrile,C2H3N,38.8,1.3441
acetophenone,C8H8O,17.4,1.5325
acetyl chloride,C2H3ClO,15.8,1.39
allyl sulfide,C6H10S,4.9,1.4877
aniline,C6H7N,6.7,1.583
anthracene,C14H10,2.35,1.5948
antimony pentachloride,Cl5Sb,3.22,1.601
antimony tribromide,Br3Sb,20.9,1.74
b-ionone,C13H20O,11.7,1.5198
barium fluoride,BaF2,7.36,1.4741
benzaldehyde,C7H6O,17.8,1.5463
benzene,C6H6,2.28,1.5011
benzonitrile,C7H5N,26,1.528
benzotrichloride,C7H5Cl3,6.9,1.5573
benzoyl chloride,C7H5ClO,23,1.5537
benzoyl fluoride,C7H5FO,22.7,1.496
benzoylacetone,C10H10O2,29,1.5678
benzyl 2-hydroxybenzoate,C14H12O3,4.1,1.581
benzyl acetate,C9H10O2,5.1,1.523
benzyl alcohol,C7H8O,13,1.5403
benzyl benzoate,C14H12O2,4.9,1.504
benzyl chloride,C7H7Cl,7,1.539
benzyl ethyl ether,C9H12O,3.9,1.496
benzylamine,C7H9N,4.6,1.5438
biphenyl,C12H10,2.53,1.614
bis(2-chloroethyl) ether,C4H8Cl2O,20.79,1.457
bis(2-ethylhexyl) phthalate,C24H38O4,5.1,1.487
bis(2-methoxyethyl) ether,C6H14O3,7.3,1.408
bis(2-methylpropyl)amine,C8H19N,2.7,1.409
bis(3-methylbutyl) ether,C10H22O,2.82,1.409
bis(3-methylbutyl)amine,C10H23N,2.5,1.4235
bornyl acetate,C12H20O2,4.6,1.4623
boron tribromide,BBr3,2.58,1.434
bromoacetyl bromide,C2H2Br2O,12.4,1.546
bromobenzene,C6H5Br,5.17,1.558
bromocyclohexane,C6H11Br,7.92,1.495
bromoethane,C2H5Br,4.9,1.425
bromotrichloromethane,CBrCl3,2.47,1.506
butanal,C4H8O,13.4,1.3943
butanamine,C4H11N,4.92,1.405
butane,C4H10,1.77,1.3562
butanedinitrile,C4H4N2,56.5,1.4165
butanenitrile,C4H7N,20.7,1.384
butanethiol,C4H10S,4.95,1.4426
butanoic acid,C4H8O2,2.8,1.3969
butanol,C4H10O,7.8,1.3993
butoxybenzene,C10H14O,3.73,1.497
butyl acetate,C6H12O2,5.1,1.3942
butyl nitrate,C4H9NO3,13.1,1.4065
